City_ID,City,Lat,Lon,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,rikitea,-23.1203,-134.9692,79.41,72,93,4.79,PF,1680219593
1,punta arenas,-53.15,-70.9167,42.91,61,20,14.97,CL,1680219070
2,ushuaia,-54.8,-68.3,38.86,70,0,5.75,AR,1680219593
3,atuona,-9.8,-139.0333,80.73,73,4,14.43,PF,1680219593
4,mana,5.6592,-53.7767,77.13,86,63,8.9,GF,1680219365
5,cururupu,-1.8283,-44.8683,73.99,98,100,2.28,BR,1680219366
6,albany,42.6001,-73.9662,34.59,43,34,7.16,US,1680219457
7,kamenka,51.3223,42.7678,34.57,71,67,14.94,RU,1680219366
8,kaitangata,-46.2817,169.8464,62.55,65,66,5.53,NZ,1680219594
9,joshimath,30.5667,79.5667,47.23,93,100,6.76,IN,1680219891
10,castro,-24.7911,-50.0119,64.13,92,46,2.57,BR,1680219594
11,ganzhou,28.8184,115.4327,59.29,87,80,1.66,CN,1680219376
12,panuco,22.05,-98.1667,78.98,60,99,15.32,MX,1680219594
13,mount isa,-20.7333,139.5,82.17,28,19,6.91,AU,1680219594
14,cockburn town,21.4612,-71.1419,77.99,75,1,14.25,TC,1680219594
15,panaba,21.2833,-88.2667,86.32,42,41,15.48,MX,1680219594
16,kamaishi,39.2667,141.8833,54.95,57,72,8.68,JP,1680219368
17,henties bay,-22.116,14.2845,57.24,94,12,2.26,NA,1680219368
18,rocha,-34.4833,-54.3333,63.61,92,100,4.21,UY,1680219595
19,butaritari,3.0707,172.7902,82.04,79,69,11.59,KI,1680219595
20,yankton,42.8711,-97.3973,49.12,61,0,12.66,US,1680219892
21,hermanus,-34.4187,19.2345,59.22,85,36,6.08,ZA,1680219595
22,karratha,-20.7377,116.8463,81.52,75,16,5.23,AU,1680219595
23,ekhabi,53.5102,142.9671,30.15,94,100,8.93,RU,1680219369
24,arica,-18.475,-70.3042,76.55,85,55,2.01,CL,1680219070
25,vangaindrano,-23.35,47.6,73.38,95,98,3.58,MG,1680219369
26,new norfolk,-42.7826,147.0587,59.92,73,98,1.99,AU,1680219370
27,busselton,-33.65,115.3333,67.1,69,100,21.14,AU,1680219596
28,dikson,73.5069,80.5464,-15.97,100,96,8.63,RU,1680219596
29,upernavik,72.7868,-56.1549,-20.88,90,31,5.68,GL,1680219457
30,vytegra,61.0064,36.4481,16.72,96,25,2.64,RU,1680219370
31,korampallam,8.7667,78.1,78.6,82,37,2.66,IN,1680219370
32,mar del plata,-38.0023,-57.5575,62.1,77,0,9.22,AR,1680219309
33,borgarnes,64.5383,-21.9206,41.05,88,88,4.38,IS,1680219371
34,isangel,-19.55,169.2667,84.31,84,40,0.0,VU,1680219597
35,lima,-12.0432,-77.0282,77.25,69,40,12.66,PE,1680219360
36,yellowknife,62.456,-114.3525,12.72,48,20,4.61,CA,1680219432
37,geraldton,-28.7667,114.6,66.61,94,0,10.36,AU,1680219089
38,saskylakh,71.9167,114.0833,-21.26,97,83,7.96,RU,1680219597
39,bredasdorp,-34.5322,20.0403,57.49,87,50,1.45,ZA,1680219597
40,ketchikan,55.3422,-131.6461,43.27,70,75,11.5,US,1680219335
41,airai,-8.9266,125.4092,62.78,93,100,2.8,TL,1680219597
42,san ignacio,17.1561,-89.0714,84.34,65,40,4.61,BZ,1680219372
43,murray bridge,-35.1167,139.2667,64.13,52,29,9.06,AU,1680219373
44,tiksi,71.6872,128.8694,-19.34,100,100,6.02,RU,1680219597
45,tautira,-17.7333,-149.15,80.65,73,100,4.45,PF,1680219598
46,salinopolis,-0.6136,-47.3561,81.59,80,78,14.9,BR,1680219373
47,mataura,-46.1927,168.8643,55.47,59,23,4.81,NZ,1680219598
48,ambilobe,-13.2,49.05,73.71,96,99,2.3,MG,1680219373
49,akyab,20.15,92.9,74.68,89,36,5.46,MM,1680219374
50,provideniya,64.3833,-173.3,21.36,58,0,15.99,RU,1680219598
51,acarau,-2.8856,-40.12,78.28,84,39,9.64,BR,1680219374
52,saint-philippe,-21.3585,55.7679,76.59,84,78,7.27,RE,1680219895
53,lishui,28.4604,119.9103,55.96,91,96,1.9,CN,1680219375
54,portobelo,9.55,-79.65,74.1,78,23,22.59,PA,1680219375
55,hobart,-42.8794,147.3294,60.26,72,75,13.8,AU,1680219598
56,gat,31.61,34.7642,54.28,57,66,15.08,IL,1680219895
57,quatre cocos,-20.2078,57.7625,80.71,85,43,11.77,MU,1680219375
58,sioux lookout,50.1001,-91.917,33.87,47,40,5.75,CA,1680219375
59,onalaska,43.8844,-91.2351,40.28,69,100,8.05,US,1680219376
60,bethel,41.3712,-73.414,41.49,37,35,1.99,US,1680219599
61,port alfred,-33.5906,26.891,62.69,80,46,6.98,ZA,1680219376
62,avarua,-21.2078,-159.775,84.25,84,40,13.8,CK,1680219599
63,saint-joseph,-21.3667,55.6167,76.48,85,78,6.04,RE,1680219376
64,nikolskoye,59.7035,30.7861,28.29,97,85,4.18,RU,1680219599
